batch_key,candidate_key,normalized_manufacturer,normalized_display_name,entity_granularity,parent_candidate_key,normalized_category,qualifying_event_type,normalized_launch_date,date_precision,market_channel_notes,decision_status,rationale,open_questions,normalizer
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-333,Intel,Intel Pentium II processor 333 MHz,model_variant,,CPU,product_introduction_and_system_availability,1998-01-26,exact,"Desktop systems; high-volume servers and workstations; same-day system availability, later memory-support server/workstation version.",proposed,"Verified exact introduction and same-day system availability support a model-variant proposal.","Exact later server/workstation version availability; boxed/component channel; ordering part number.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,intel-pentium-266,Intel,Intel Pentium processor 266 MHz,model_variant,,CPU,product_introduction,1998-01-12,exact,"Desktop CPU; channel availability and market geography unresolved.",proposed,"First-party chronology supports exact introduction only; no availability date is invented.","Contemporary announcement, first shipment, channel, ordering part number.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,intel-celeron-300,Intel,Intel Celeron processor 300 MHz,model_variant,,CPU,product_introduction_and_boxed_reseller_availability,1998-06-08,exact,"Basic PCs; boxed Celeron availability to Intel dealers/resellers stated, but exact ordering-part allocation is unresolved.",proposed,"Verified exact introduction and boxed reseller statement support proposal; plain 300 remains distinct from 300A.","Exact component SKU and geography.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-xeon-450,Intel,Intel Pentium II Xeon processor 450 MHz,sku_unresolved,,CPU,product_speed_version_announcement_with_planned_system_shipments,1998-10-06,exact,"Two-way workstations/servers; later-October system shipment plan; four-way availability early 1999; 512 KB L2 price named.",review_required,"Identity and announcement are supported, but whether announcement plus planned shipment satisfies the cohort event rule remains unresolved.","Qualifying event policy, actual first shipment, cache/SKU scope.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,amd-k6-2-366,AMD,AMD-K6-2 processor 366 MHz,model_variant,amd-k6-2-family,CPU,variant_introduction_and_volume_shipments,1998-Q4,quarter,"Microsoft Windows-compatible desktop CPU; introduced and shipped in volume during Q4 1998.",proposed,"Quarter-precision variant event is supported and kept separate from the family date.","Exact day/month, first shipment, package/orderable identity.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,amd-k6-2-380,AMD,AMD-K6-2 processor 380 MHz,model_variant,amd-k6-2-family,CPU,variant_introduction_and_volume_shipments,1998-Q4,quarter,"Microsoft Windows-compatible desktop CPU; introduced and shipped in volume during Q4 1998.",proposed,"Quarter-precision variant event is supported and kept separate from the family date.","Exact day/month, first shipment, package/orderable identity.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,intel-mobile-pentium-ii-233,Intel,Mobile Intel Pentium II processor 233 MHz,model_variant,,CPU,product_introduction_system_and_component_availability,1998-04-02,exact,"Mobile PCs; OEM/system and 1,000-unit mini-cartridge/module channels; geography and ordering part unresolved.",proposed,"Verified pair introduction and same-day mobile-PC/component evidence support a mobile model-variant proposal.","Ordering part number and geographic availability.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,intel-mobile-pentium-ii-266,Intel,Mobile Intel Pentium II processor 266 MHz,model_variant,,CPU,product_introduction_system_and_component_availability,1998-04-02,exact,"Mobile PCs; OEM/system and 1,000-unit mini-cartridge/module channels; geography and ordering part unresolved.",proposed,"Verified pair introduction and same-day mobile-PC/component evidence support a mobile model-variant proposal.","Ordering part number and geographic availability.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,intel-mobile-pentium-ii-300,Intel,Mobile Intel Pentium II processor 300 MHz,model_variant,,CPU,product_introduction,1998-09-09,exact,"Mobile CPU; chronology gives introduction date and contemporary release confirms recent introduction, but channel availability is unknown.",proposed,"Verified chronology introduction supports proposal while preserving unknown commercial availability.","Exact system/component/boxed availability and ordering part number.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-overdrive-300,Intel,Pentium II OverDrive processor output mapping to 300 MHz,sku_unresolved,,CPU,single_product_introduction_with_output_mapping,1998-08-10,exact,"Upgrade processor for Pentium Pro desktops, workstations, and entry/mid-range servers; second-half-August availability range; 300 MHz output mapping.",review_required,"Verifier found singular product wording covering both 300 and 333 output mappings; do not normalize as an independent physical SKU without review.","One product versus two output records; part number; compatibility assertions.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-overdrive-333,Intel,Pentium II OverDrive processor output mapping to 333 MHz,sku_unresolved,,CPU,single_product_introduction_with_output_mapping,1998-08-10,exact,"Upgrade processor for Pentium Pro desktops, workstations, and entry/mid-range servers; second-half-August availability range; 333 MHz output mapping.",review_required,"Verifier found singular product wording covering both 300 and 333 output mappings; do not normalize as an independent physical SKU without review.","One product versus two output records; part number; compatibility assertions.",terra-cpu-normalizer-omissions-006
pilot-1998-cpu-gpu-hdd,amd-k6-300-mobile,AMD,AMD-K6 processor 300 MHz for mobile applications,model_variant,,CPU,variant_introduction,during 1998-Q3,quarter,"Mobile applications; exact channel and shipment not stated.",review_required,"Quarter-level introduction supports a candidate proposal but lacks shipment/channel evidence and exact date.","Exact date, first shipment, package/orderable identity.",terra-cpu-normalizer-omissions-006
