batch_key,finding_id,finding_type,severity,affected_candidate_key,proposed_candidate_key,finding,source_url,source_locator,source_evidence,recommended_next_action,disposition,auditor
pilot-1998-cpu-gpu-hdd,AUD-001,duplicate,info,intel-pentium-ii-350;intel-pentium-ii-400,,The two Pentium II speed grades are distinct named variants in the same announcement; no duplicate identity found.,https://www.intel.com/pressroom/archive/releases/1998/dp041598.htm,lines 6 and 20-22,Intel names both 350 MHz and 400 MHz processors and gives the same introduction date; frequency alone does not make them duplicates.,Retain separate candidates and confirm part or configuration identifiers during human review.,resolved_no_change,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-002,duplicate,info,intel-celeron-300a;intel-celeron-333,,The Celeron 300A and 333 records are separate named processors in the August announcement; no duplicate identity found.,https://www.intel.com/pressroom/archive/releases/1998/dp082498.htm,lines 6 and 9-13,Intel names 333 MHz and 300A MHz as separate new processors and describes the 300A suffix explicitly.,Preserve 300A exactly and do not merge by numeric frequency.,resolved_no_change,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-003,family_variant_overlap,medium,amd-k6-2-family;amd-k6-2-350;amd-k6-2-400,,The AMD-K6-2 family and speed-grade records overlap intentionally but are different granularities; the family must not be counted as an additional speed-grade SKU.,https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-001778/EX-99.txt,lines 52-69,AMD states a family introduction on May 28 and shipment volume but does not enumerate launch speed grades.,Retain the family as a family-level candidate; represent 350 and 400 as variants only when their quarter evidence is kept separate.,follow_up,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-004,family_variant_overlap,high,intel-pentium-ii-xeon-400,,The Xeon 400 MHz record hides at least two cache configurations that may be separately orderable variants; treating it as one fully specified product risks undercounting or conflating SKUs.,https://www.intel.com/pressroom/archive/releases/1998/sp062998.htm,lines 13-26,Intel describes 512 KB and 1 MB L2 options with separate prices and channel timing.,Resolve product-versus-configuration granularity and retain cache evidence before canonical import.,follow_up,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-005,date_inheritance,medium,amd-k6-2-family;amd-k6-2-350;amd-k6-2-400,,The current verification correctly avoids copying the family May 28 date onto the 350 or 400 variants; this remains a high-risk import guardrail rather than a present data error.,https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-002698/EX-99.txt,lines 30-35; 48-75,AMD gives Q3 timing for 350 MHz while the family date is earlier; the family date does not establish the variant date.,Require typed event rows or explicit variant timing before normalization; retain quarter precision.,resolved_no_change,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-006,scope_error,medium,,,"The ten-record sample is not a complete Intel/AMD CPU launch cohort: the official Intel chronology lists additional 1998 introductions, and the current batch has no declared stopping boundary for mobile, upgrade, or lower-volume products.",https://www.intel.com/pressroom/kits/quickrefyr.htm,lines 981-1029,"The chronology lists more 1998 Intel introductions than the ten sampled records, including mobile, Pentium, OverDrive, and Xeon entries.","Keep all leads outside the cohort until independently verified; declare the audit search boundary and candidate stopping rule in the batch review.",follow_up,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-007,omission_lead,high,,intel-pentium-ii-333,Official Intel chronology and a January press release identify a Pentium II 333 MHz introduction on 1998-01-26; it is absent from the ten records.,https://www.intel.com/pressroom/archive/releases/1998/dp012698.htm,lines 6-7,Intel says it introduced the 333 MHz Pentium II on January 26 1998.,Create a separate scout lead then verify identity availability event and channel scope independently.,open,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-008,omission_lead,high,,intel-pentium-266,Official Intel chronology lists a Pentium Processor 266 MHz introduction on 1998-01-12; it is absent from the ten records.,https://www.intel.com/pressroom/kits/quickrefyr.htm,lines 1024-1029,Intel's chronology lists Intel Pentium Processor 266 MHz under January 12 1998.,Create a separate scout lead and verify whether it is a desktop CPU product in the declared category boundary.,open,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-009,omission_lead,high,,intel-mobile-pentium-ii-233;intel-mobile-pentium-ii-266,Intel's April 2 press release identifies the first mobile Pentium II processors at 233 and 266 MHz; neither is in the ten records.,https://www.intel.com/pressroom/archive/releases/1998/mp040298.htm,lines 6-7,Intel says the first mobile Pentium II processors were introduced at 233 and 266 MHz on April 2 1998.,Create separate mobile speed-grade leads and verify whether mobile products are included in the CPU cohort boundary.,open,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-010,omission_lead,high,,intel-celeron-300,"Intel's June 8 press release introduces the Celeron 300 MHz; the sample contains 266, 300A, and 333 but omits plain 300 MHz.",https://www.intel.com/pressroom/archive/releases/1998/dp060898.htm,lines 6 and 9,Intel says it introduced the Celeron 300 MHz on June 8 1998 and identifies it as the second family member.,Create a separate Celeron 300 lead and verify its commercial availability event rather than merging it with 300A.,open,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-011,omission_lead,medium,,intel-mobile-pentium-ii-300,Official Intel chronology lists a mobile Pentium II 300 MHz introduction on 1998-09-09; it is absent from the sample.,https://www.intel.com/pressroom/kits/quickrefyr.htm,lines 987-991,Intel's chronology lists Mobile Intel Pentium II Processor 300 MHz under September 9 1998.,Create a mobile-product lead and verify event and scope with a contemporary product source.,open,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-012,omission_lead,medium,,intel-pentium-ii-xeon-450,Intel's October 6 press release introduces a Pentium II Xeon 450 MHz version; the sample stops at Xeon 400 MHz.,https://www.intel.com/pressroom/archive/releases/1998/wp100698.htm,lines 6 and 9,Intel says it announced the 450 MHz Pentium II Xeon on October 6 1998 for two-way workstations and servers.,Create a Xeon 450 lead and verify whether announcement or first shipment satisfies the cohort event rule.,open,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-013,omission_lead,medium,,intel-pentium-ii-overdrive-300;intel-pentium-ii-overdrive-333,Intel's August 10 release introduces the Pentium II OverDrive processor with 300 and 333 MHz upgrade outputs; it is absent from the sample.,https://www.intel.com/pressroom/archive/releases/1998/DP081098.HTM,lines 6-7 and 16,"Intel says it introduced the Pentium II OverDrive processor and that it would be available in the second half of August, upgrading systems to 300 or 333 MHz.",Create separate speed/configuration leads and decide whether upgrade processors are inside the CPU cohort boundary.,open,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-014,omission_lead,high,,amd-k6-2-366;amd-k6-2-380,"AMD's Q4 filing states that 366 MHz and 380 MHz AMD-K6-2 versions were introduced and shipped in volume during Q4 1998; the sample includes only 400 MHz.",https://ir.amd.com/financial-information/sec-filings/content/0001012870-99-000143/EX-99.txt,lines 27-32 and 62-69,"AMD reports Q4 1998 introduction and volume shipment of 366, 380, and 400 MHz versions.",Create separate 366 and 380 leads while preserving quarter precision and retrospective evidence status.,open,intel-luna-audit-01
pilot-1998-cpu-gpu-hdd,AUD-015,omission_lead,high,,amd-k6-300-mobile,AMD's Q3 filed release states that a 300 MHz AMD-K6 processor was introduced for mobile applications during Q3 1998; it is absent from the sample.,https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-002698/EX-99.txt,lines 104-106,AMD states that it introduced a 300 MHz AMD-K6 processor for mobile applications during the quarter.,Create a mobile AMD lead and verify whether the declared CPU cohort includes mobile AMD-K6 products.,open,intel-luna-audit-01
