batch_key,finding_id,finding_type,severity,affected_candidate_key,proposed_candidate_key,finding,source_url,source_locator,source_evidence,recommended_next_action,disposition,auditor
pilot-1998-gpu,AUD-001,duplicate,info,intel-i740;intel-express-3d,,No duplicate: Intel740 is a chip while Express 3D is a distinct Intel add-in board; shared branding/chip lineage must not collapse identity.,https://www.intel.com/pressroom/archive/releases/1998/CN041598.HTM,release text lines 4-8 and 14-15,Express 3D is described as a graphics card with immediate dealer/distributor/system-integrator availability.,Retain separate chip and board records; verify any board-to-chip linkage separately.,resolved_no_change,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-002,duplicate,info,ati-rage-128-gl;ati-rage-128-vr,,No duplicate: GL and VR are separately named RAGE 128 variants with different interface/package descriptions in the registered contemporary reporting.,https://pc.watch.impress.co.jp/docs/article/980828/ati.htm,article lines 5-17,The report separately identifies RAGE 128GL and RAGE 128VR and describes distinct 128-bit and 64-bit configurations.,Retain variant-level rows; do not merge without an explicit family/variant policy decision.,resolved_no_change,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-003,family_variant_overlap,medium,ati-rage-128-gl;ati-rage-128-vr,ati-rage-128-family,"Current rows are variants, not an independently evidenced family launch row; a parent-family relation may be useful but is not a new candidate in this audit.",https://pc.watch.impress.co.jp/docs/article/980828/ati.htm,article lines 5-17,The source names both variants in one RAGE 128 family context while giving separate package/interface details.,Record a non-canonical parent relation during normalization; do not add a family candidate from this finding.,follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-004,family_variant_overlap,high,3dfx-voodoo-banshee,,Banshee is a chip announcement; the source's August/September card availability is a forecast and cannot be inherited as a confirmed board launch.,https://pc.watch.impress.co.jp/docs/article/980624/banshee.htm,article lines 8-18,"The June 22 chip announcement is followed by expected August or September card availability, not a shipment record.",Keep chip timing separate from board timing; seek a dated first-shipment source.,follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-005,family_variant_overlap,medium,intel-i740;intel-express-3d,,The Intel chip and Intel-branded board are different identity granularities and should not be deduplicated by vendor or product family.,https://www.intel.com/pressroom/archive/releases/1998/CS021298.HTM,release text lines 4-6 and 15-16,"Intel740 is described with volume-production wording for vendors/OEMs, while Express 3D is a separate immediately available card in the April release.",Retain both with explicit chip-versus-board labels and avoid timing inheritance.,resolved_no_change,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-006,date_inheritance,high,ati-rage-128-gl;ati-rage-128-vr,ati-rage-magnum;ati-rage-fury;ati-xpert-128,Planned October board availability cannot be promoted to confirmed chip shipment; the registered sources also conflict on September versus October volume production.,https://www.ardent-tool.com/CPU/docs/MPR/19980914/121204.pdf,page 2 lines 176-181,Microprocessor Report says OEM sampling began in August and volume production was planned for October; it does not establish shipment.,"Preserve sampling, planned production, and shipment as separate event types; resolve the timing conflict before inclusion.",follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-007,date_inheritance,medium,3dfx-voodoo-banshee,,Do not convert the forecasted August/September card timing into a verified Banshee launch date.,https://pc.watch.impress.co.jp/docs/article/980624/banshee.htm,article lines 8-18,The article forecasts card availability while documenting the chip announcement; forecast and shipment remain distinct.,Seek contemporary channel or manufacturer shipment evidence; leave date precision at forecast level.,follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-008,scope_error,high,matrox-mga-g200,,MGA-G200 is an announcement-only record in the frozen evidence; concrete product and release dates were expressly undisclosed.,https://pc.watch.impress.co.jp/docs/article/980506/mgag200.htm,article lines 5-15,The contemporary report documents the May 1 announcement but says concrete products and release dates were not disclosed.,Do not accept as a qualifying commercial-shipment candidate without a separate first-availability source.,follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-009,scope_error,medium,nvidia-riva-128zx;nvidia-riva-tnt,,"The first-party NVIDIA chronology provides month-level chip launch entries but no board, channel, or shipment evidence; those fields must remain unknown.",https://www.nvidia.com/content/timeline/time_98.html,chronology lines 4-14,The timeline lists RIVA 128ZX in February and RIVA TNT in March 1998 without exact day or channel detail.,Retain month precision and pursue independent shipment/channel evidence before canonical inclusion.,follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-010,evidence_gap,medium,nvidia-riva-128zx;nvidia-riva-tnt;matrox-mga-g200;ati-rage-128-gl;ati-rage-128-vr;3dfx-voodoo-banshee,,Several frozen rows rely on retrospective chronology or contemporary technical reporting without a confirmed first-commercial-shipment record; evidence is insufficient for automatic promotion.,https://www.nvidia.com/content/timeline/time_98.html,chronology lines 4-14,"The evidence establishes launch/announcement wording but leaves exact shipment, channel, and regional scope unresolved across multiple rows.",Require human review and targeted primary or contemporary channel corroboration; do not normalize by inference.,follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-011,omission_lead,high,,s3-savage3d,"Savage3D is a bounded 1998 omission lead with first-party manufacturing/shipping wording and should be researched as a chip/family candidate, not silently added.",https://www.umc.com/en/News/press_release/Content/technology_related/19980817,press release dated 1998-08-17,UMC says full production shipping of S3 Savage3D; it states the product was announced in May and mass production started in early July.,"Create a separate scout/verification record; preserve announcement, production, and shipping as distinct events.",follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-012,omission_lead,high,,3dfx-voodoo2;canopus-pure3d-ii,"Voodoo2 is an omitted chip/card family lead, while Canopus PURE3D II is a separate board-product lead; identity granularity must remain split.",https://pc.watch.impress.co.jp/docs/article/980217/3dfx.htm,article dated 1998-02-17,Contemporary reporting documents Voodoo2 cards demonstrated and a 1998 Voodoo2 rollout context; it does not by itself prove a commercial shipment.,Run separate chip and board follow-up searches; use proposed keys only until event/channel evidence is verified.,follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-013,omission_lead,medium,,stb-velocity-4400;creative-graphics-blaster-riva-tnt,RIVA TNT board products are omitted even though contemporary reporting names vendors and identifies STB Velocity 4400 as already shipped in the US.,https://pc.watch.impress.co.jp/docs/article/980901/tnt.htm,article dated 1998-09-01,"The report names Creative, ASUS, STB, and Leadtek cards; STB Velocity 4400 was already shipped and Creative planned early September shipment.",Scout each board separately and preserve shipped versus planned wording and regional US channel limits.,follow_up,luna-scout-mobile-upgrade-03
pilot-1998-gpu,AUD-014,omission_lead,medium,,matrox-mga-g200-board,MGA-G200 board products are a separate omission lead from the frozen chip row; card production/merchant-market wording requires independent board identity review.,https://www.cecs.uci.edu/~papers/mpr/MPR/19980713/120904.pdf,MPR 1998-07-13 availability discussion,The contemporary report describes MGA-G200 in production and Matrox selling G200-based expansion cards while distinguishing OEM/merchant-market channels.,"Create a board-level proposed lead and verify first commercial availability, channel, and region separately from the chip.",follow_up,luna-scout-mobile-upgrade-03
