batch_key,finding_id,finding_type,severity,affected_candidate_key,proposed_candidate_key,finding,source_url,source_locator,source_evidence,recommended_next_action,disposition,auditor
pilot-1998-hdd,hdd-aud-001,duplicate,info,ibm-deskstar-25gp;ibm-deskstar-22gxp,,The Deskstar 25GP and 22GXP are separately identified capacity and rotation-speed variants; not duplicate records.,https://www.wired.com/1998/11/new-ibm-hard-drive-size-matters/,lines 53-70,Reuters identifies the 25 GB 5400 RPM 25GP and the 22 GB 7200 RPM 22GXP separately in IBM's November 1998 unveiling.,Retain separate frozen records; obtain ordering identifiers only if later normalization requires SKU-level identity.,resolved_no_change,terra-hdd-audit-004
pilot-1998-hdd,hdd-aud-002,family_variant_overlap,medium,quantum-fireball-el;quantum-fireball-ex,,Fireball EL and Fireball EX are different named HDD families but the frozen records are family-level rather than per-capacity SKU records; their capacities must not be retroactively treated as separate candidates without a new scoped scout run.,https://investors.quantum.com/financial-information/sec-filings/content/0000950005-98-000669/0000950005-98-000669.pdf,Form 10-Q product discussion,Quantum reports the Fireball EL and EX as named new products and gives family-level production timing rather than a complete per-SKU launch register.,Keep each as a family-level frozen record; require separate evidence and a declared granularity decision before any SKU expansion.,follow_up,terra-hdd-audit-004
pilot-1998-hdd,hdd-aud-003,date_inheritance,high,ibm-deskstar-25gp;ibm-deskstar-22gxp,,The Q1 1999 distributor and reseller availability statement must not be inherited into either Deskstar record as a 1998 broad-channel launch date. The only stated 1998 availability is limited shipment to PC makers for Christmas.,https://www.wired.com/1998/11/new-ibm-hard-drive-size-matters/,lines 62-70,Reuters distinguishes limited 1998 PC-maker shipments from distributor and reseller availability in the first quarter of 1999.,Preserve two event facts in any later review: November 11 unveiling and limited 1998 OEM shipment; do not infer a 1998 retail-channel date.,resolved_no_change,terra-hdd-audit-004
pilot-1998-hdd,hdd-aud-004,evidence_gap,high,quantum-fireball-el,,May 1998 mass production and planned May availability do not independently establish a first commercial shipment or an exact introduction date for Fireball EL.,https://pc.watch.impress.co.jp/docs/article/980428/quantum.htm,dated April 28 1998 report,The contemporary report describes planned May availability; the associated Quantum filing establishes May mass production but not a dated commercial shipment.,Keep the record at human review and seek a dated OEM or distribution shipment source before treating mass production as the qualifying commercial event.,follow_up,terra-hdd-audit-004
pilot-1998-hdd,hdd-aud-005,evidence_gap,medium,quantum-fireball-ex,,Fireball EX has a dated June 8 announcement and July mass production; the frozen evidence does not state a precise first commercial shipment or channel geography.,https://pc.watch.impress.co.jp/docs/article/980609/quantum.htm,dated June 9 1998 report,The report gives the June 8 announcement and says the series would enter mass production in July; it does not document a day of commercial availability.,Retain the dated announcement separately from production timing and seek OEM or distribution shipment evidence if the cohort rule requires commercial shipment.,follow_up,terra-hdd-audit-004
pilot-1998-hdd,hdd-aud-006,scope_error,high,,,The four-record bounded pilot covers only Quantum and IBM desktop/workstation fixed HDDs. It is not an all-manufacturer or all-segment 1998 HDD cohort; desktop competitors and SCSI enterprise/mobile and other segments require a declared stopping rule and separate scout coverage.,https://pc.watch.impress.co.jp/docs/article/981027/hdd.htm,dated October 27 1998 HDD product report,The contemporary report documents 1998 Seagate enterprise SCSI introductions alongside the pilot's desktop-focused records; showing that segment coverage is intentionally incomplete.,Keep the present sample labeled bounded; open separately sourced omission leads without adding any entities to this audit run.,follow_up,terra-hdd-audit-004
pilot-1998-hdd,hdd-aud-007,omission_lead,high,,maxtor-diamondmax-2880,Maxtor DiamondMax 2880 is an omission lead: a February 24 1998 announcement described a new 3.5-inch UltraDMA/33 family with mass-production shipment planned from March. It is not added as a candidate here.,https://pc.watch.impress.co.jp/docs/article/980227/maxtor.htm,dated February 27 1998 report,Contemporary reporting says Maxtor announced the DiamondMax 2880 on February 24 and planned mass-production shipping from March.,Create a separate scout lead for product identity and actual commercial-shipment evidence; do not treat the forecast shipment as verified availability.,open,terra-hdd-audit-004
pilot-1998-hdd,hdd-aud-008,omission_lead,high,,seagate-barracuda-18lp-family,Seagate Barracuda 18LP family is an omission lead: the October 1998 announcement included Barracuda 18LP products and stated November 1998 mass shipment for the series except the 50 GB configuration. It is not added as a candidate here.,https://pc.watch.impress.co.jp/docs/article/981027/hdd.htm,dated October 27 1998 HDD product report,The report lists Barracuda 18LP 9/18/36/50 GB models and states November mass shipment except for the 50 GB model in March 1999.,Create a scoped enterprise-SCSI scout record at family or clearly separated model granularity; verify commercial channel and do not assign November timing to the 50 GB configuration.,open,terra-hdd-audit-004
pilot-1998-hdd,hdd-aud-009,omission_lead,medium,,seagate-cheetah-18lp-family,Seagate Cheetah 18LP is a boundary-control lead rather than evidence of 1998 commercial inclusion: it was announced in October 1998 but the cited report gives February 1999 mass shipment.,https://pc.watch.impress.co.jp/docs/article/981027/hdd.htm,dated October 27 1998 HDD product report,The report lists Cheetah 18LP products in the 1998 announcement and says mass shipment would start in February 1999.,Record it only as a prospective lead; exclude it from a 1998 shipment-qualified cohort unless independent evidence establishes an earlier qualifying event under the declared rule.,open,terra-hdd-audit-004
pilot-1998-hdd,hdd-aud-010,omission_lead,medium,,western-digital-wd-expert,Western Digital WD Expert is a provisional omission lead: a December 1998 contemporary report calls it a new 7200 RPM drive; the available evidence does not establish a primary-source launch date or first commercial shipment.,https://www.edn.com/wd-moves-drives-down-food-chain/,published December 11 1998,EDN describes WD Expert as a new 7200 RPM drive and reports that it was shipping ahead of schedule; the article alone is insufficient for a precise cohort event.,Seek a dated Western Digital press release or regulatory filing and independently verify product identity and shipment timing before a new scout candidate is considered.,open,terra-hdd-audit-004
