"batch_key","candidate_key","claim_scope","problem_addressed","target_user","engineering_response","confidence","source_key","source_locator","evidence_note","limitations","researcher"
"pilot-1998-cpu-gpu-hdd","intel-pentium-ii-350","manufacturer_stated","Intel states higher performance for corporate and home computing plus server/workstation throughput","corporate and home users; servers and workstations","350 MHz Pentium II with 100 MHz bus and 512 KB L2 cache; 0.25 micron process","high","intel-1998-dp041598","lines 6,11,15,20-21","Intel explicitly links the processor to performance headroom and server/workstation performance.","Marketing claims and stated performance gains are not independently tested here.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-pentium-ii-400","manufacturer_stated","Intel states higher performance for corporate and home computing plus server/workstation throughput","corporate and home users; servers and workstations","400 MHz Pentium II with 100 MHz bus and 512 KB L2 cache; 0.25 micron process","high","intel-1998-dp041598","lines 6,11,15,20-21","Same launch statement as 350 MHz; 400 MHz cache bus is also specified at 200 MHz.","Marketing claims and stated performance gains are not independently tested here.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-celeron-266","manufacturer_stated","Intel frames a lower-cost processor for core computing needs in Basic PCs","Basic PC users and value-oriented home/business users","266 MHz Celeron based on P6 microarchitecture with 440EX AGPset support and 0.25 micron process","high","intel-1998-dp041598","lines 6-9,17-19","Intel explicitly describes affordability, core computing, and Basic PC multimedia positioning.","No independent comparison or exact later availability evidence in this context run.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-pentium-ii-450","manufacturer_stated","Intel positions a faster mainstream processor for productivity, entertainment, entry-level servers, and workstations","mainstream performance PC users; entry-level servers and workstations","450 MHz Pentium II with 100 MHz bus and 440BX AGPset; cache details not stated in source","high","intel-1998-dp082498","lines 4-12","Intel says 450 MHz targets mainstream performance PCs and server/workstation bottlenecks.","This is positioning language; no neutral test data attached.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-celeron-300a","manufacturer_stated","Intel targets reliable affordable Basic PC systems","entry-level/basic PC users","300A Celeron with 128 KB integrated L2 cache and 440EX AGPset","high","intel-1998-dp082498","lines 5,9-12","Intel distinguishes 300A and 300 MHz and states cache and Basic PC intent.","No independent comparison; 300A configuration/SKU boundary remains unresolved.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-celeron-333","manufacturer_stated","Intel targets reliable affordable Basic PC systems with improved performance","entry-level/basic PC users","333 MHz Celeron with 128 KB integrated L2 cache and 440EX AGPset","high","intel-1998-dp082498","lines 5,9-12","Intel states up to 38 percent improvement over Celeron 300 in its own comparison.","The stated percentage is a manufacturer claim and test configuration is not disclosed in this release.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-pentium-ii-xeon-400","manufacturer_stated","Intel targets demanding enterprise and technical workloads requiring scalability and larger/faster cache","servers and workstations","400 MHz Pentium II Xeon with 512 KB or 1 MB L2 options; four/eight-way scalability; 100 MHz bus","high","intel-1998-sp062998","lines 6-9,13-26","Intel explicitly names Internet services, data warehousing, digital content creation, EDA, multiprocessing, and cache options.","Positioning and benchmark references are Intel-supplied; cache options make one-row comparison problematic.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","amd-k6-2-family","manufacturer_stated","AMD addresses differentiated Windows computing and 3D imaging/sound performance","Microsoft Windows PC users and desktop OEMs","AMD-K6-2 family adds 3DNow! instructions and Windows-oriented differentiation","high","amd-1998-q2-results","lines 60-69","AMD explicitly states the problem and engineering response and names IBM, HP, and Fujitsu systems.","AMD's stated benefits are not independently measured here.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","amd-k6-2-350","manufacturer_stated","AMD positions a higher-performance device for mainstream desktop systems and price-sensitive retail PCs","mainstream desktop PC users and U.S. retail channel","350 MHz AMD-K6-2 with 3DNow! technology","high","amd-1998-q3-results","lines 60-75","AMD connects 350 MHz availability to mainstream systems priced at $1,500 and below.","The release does not provide independent test configuration or exact engineering delta beyond family branding.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","amd-k6-2-400","manufacturer_stated","AMD addresses demand for higher speed and strategic customer requirements","Microsoft Windows PC customers and OEMs","400 MHz AMD-K6-2 with 3DNow! technology","high","amd-1998-q4-results","lines 62-69","AMD reports introduction and volume shipment of 400 MHz and says demand exceeded supply.","Retrospective company statement; no comparable independent benchmark found.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-pentium-ii-333","manufacturer_stated","Intel addresses high-performance visual computing for businesses and consumers and higher-memory server/workstation needs","business and consumer desktop users; servers and workstations","333 MHz Pentium II with 0.25 micron process, 512 KB L2, and server/workstation memory-support variant","high","intel-1998-dp012698","lines 5-12","Intel explicitly states visual-computing problem and later-quarter higher-memory server/workstation response.","No independent test result included.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-pentium-266","manufacturer_stated","unknown","desktop PC users","unknown","low","intel-quickref-year","1998 chronology entry around lines 1024-1029","The consulted first-party chronology establishes identity/date but does not state target problem or engineering response.","No suitable launch narrative located in bounded run.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-celeron-300","manufacturer_stated","Intel addresses affordable core computing for sub-$1,200 Basic PCs","Basic PC users and value-oriented consumers/businesses","300 MHz Celeron with P6 microarchitecture and 440EX AGPset","high","intel-1998-dp060898","lines 4-9","Intel explicitly states Basic PC affordability, performance, and platform response.","No independent test configuration; manufacturer comparison to Celeron 266 is not used as a benchmark row.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-pentium-ii-xeon-450","manufacturer_stated","Intel targets mission-critical demanding applications in two-way workstations and servers","dual-processor workstation and server customers","450 MHz Pentium II Xeon with 512 KB L2 and 440GX support","high","intel-1998-wp100698","lines 4-11","Intel explicitly names the two-way server/workstation segment and mission-critical applications.","Four-way availability is deferred to 1999; no neutral benchmark attached.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","amd-k6-2-366","manufacturer_stated","AMD positions higher clock versions as part of a speed roadmap and customer-demand response","Microsoft Windows PC customers and OEMs","366 MHz AMD-K6-2 with 3DNow! technology","medium","amd-1998-q4-results","lines 62-69","Filed release states 366 MHz was introduced and shipped in volume during Q4 as part of speed-roadmap execution.","Retrospective and lacks a specific problem statement for 366 MHz.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","amd-k6-2-380","manufacturer_stated","AMD positions higher clock versions as part of a speed roadmap and customer-demand response","Microsoft Windows PC customers and OEMs","380 MHz AMD-K6-2 with 3DNow! technology","medium","amd-1998-q4-results","lines 62-69","Filed release states 380 MHz was introduced and shipped in volume during Q4 as part of speed-roadmap execution.","Retrospective and lacks a specific problem statement for 380 MHz.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-mobile-pentium-ii-233","manufacturer_stated","Intel addresses mobile PC performance and battery-conscious platform requirements","mobile PC users and OEMs","233 MHz mobile Pentium II in mini-cartridge/module form with mobile-system integration","high","intel-1998-mp040298","lines 4-10","Intel describes the first mobile Pentium II and mobile PC platform response.","No comparable battery-life or benchmark result retained.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-mobile-pentium-ii-266","manufacturer_stated","Intel addresses mobile PC performance and battery-conscious platform requirements","mobile PC users and OEMs","266 MHz mobile Pentium II in mini-cartridge/module form with mobile-system integration","high","intel-1998-mp040298","lines 4-10","Same mobile launch statement; 266 MHz is named as a first mobile Pentium II speed grade.","No comparable battery-life or benchmark result retained.","luna-context-005"
"pilot-1998-cpu-gpu-hdd","intel-mobile-pentium-ii-300","manufacturer_stated","unknown","mobile PC users","unknown","low","intel-1998-mp091698","release discusses recently introduced mobile Pentium II 300 MHz","The source confirms the product context but does not provide a sufficiently explicit problem/engineering explanation in this run.","No suitable launch narrative located in bounded run.","luna-context-005"
