source_key,title,publisher,source_type,source_tier,url,publication_date,accessed_date,scope_note
nokia-ar-1997,Nokia Annual Report 1997,Nokia,annual_report,1,https://ddd.uab.cat/pub/infanu/30085/iaNOKIAa1997ieng.pdf,1998,2026-09-25,"p.13 lists 6110, 8110i and 9000i among products launched in 1997; narrative describes 8110i and 9000i functions."
nokia-9000i-pr-1997,Nokia introduces the new Nokia 9000i Communicator for GSM Markets,Nokia Mobile Phones,archived_manufacturer_press_release,1,https://ptacts.uspto.gov/ptacts/public-informations/petitions/1528341/download-documents?artifactId=MQTqSfKUj7SI6mpi4ZU3-iIfGF8VYk6ff9v5nYDmfKGNSyNKvnkVOyQ,1997-11-05,2026-09-25,"9000i version, volume availability, applications and open development; original 9000 introduced 1996."
wp-9000i-1998,Putting the Internet in Your Hand,The Washington Post,contemporary_review,2,https://www.washingtonpost.com/archive/business/1998/06/29/putting-the-internet-in-your-hand/354f5f6f-7f81-4e63-a92b-a24d286a8915/,1998-06-29,2026-09-25,"Contemporary review describes 9000i hinge, keyboard, web, email, organizer and regional availability."
nokia-9000i-guide,Nokia 9000i Communicator User Guide,"Nokia Mobile Phones, archived manual",user_manual,1,https://www.telefonguru.hu/manuals/nokia_9000_en.pdf,1997,2026-09-25,Applications and operating platform; not launch timing.
digi-6110-launch,6110 varsler generasjonsskifte,Digi.no / TU Media,contemporary_technical_news,2,https://www.digi.no/artikler/6110-varsler-generasjonsskifte/339982,1997-11-10,2026-09-25,"Contemporary global press launch account; calendar, profiles, infrared and phone functions."
nokia-ar-1998,Nokia Annual Report 1998,Nokia,annual_report,1,https://www.vuosikertomukset.net/resources/Nokia/fin/vuosikertomukset/Nokia_vuosikertomus_1998.pdf,1999,2026-09-25,"p.63 distinguishes 6110 1997 announcement/1998 deliveries, 5110 March intro/May deliveries, 8810 Aug deliveries, 9110 Feb 1999 deliveries."
nokia-8110i-guide,Nokia 8110i User Guide,"Nokia Mobile Phones, archived manual",user_manual,1,https://altehandys.de/downloads/bda-no-8110i.pdf,1997,2026-09-25,Basic handset operations; no advanced application environment established.
nokia-6110-museum,Nokia 6110,Mobile Phone Museum,museum_record,3,https://www.mobilephonemuseum.com/phone-detail/nokia-6110,1997,2026-09-25,Model and physical reference; museum announcement date 18 Dec conflicts with contemporary 10 Nov report.
nokia-8110-museum,Nokia 8110,Mobile Phone Museum,museum_record,3,https://www.mobilephonemuseum.com/phone-detail/nokia-8110,1996,2026-09-25,Family design shows slider cover; Nokia dates 8110i introduction separately.
nokia-9110-museum,Nokia 9110 Communicator,Mobile Phone Museum,museum_record,3,https://www.mobilephonemuseum.com/phone-detail/nokia-9110-communicator,1998,2026-09-25,Dates announcement March 18 1998 and describes Communicator features.
nokia-9110-guide,Nokia 9110 Communicator User Manual,"Nokia Mobile Phones, archived manual",user_manual,1,https://nokia-9110-communicator.helpdoc.net/en/user-s-manual-9110/,1998,2026-09-25,"GEOS attribution, apps, keyboard, install/remove software; manual includes 1999 copyright."
nokia-5110-museum,Nokia 5110,Mobile Phone Museum,museum_record,3,https://www.mobilephonemuseum.com/phone-detail/nokia-5110,1998,2026-09-25,Identity/appearance; Nokia report preferred for timing.
nokia-8810-museum,Nokia 8810,Mobile Phone Museum,museum_record,3,https://www.mobilephonemuseum.com/phone-detail/8810,1998,2026-09-25,Identity and 1998 model context.
nokia-8810-rcr,Products,RCR Wireless News,contemporary_technical_news,2,https://www.rcrwireless.com/19980501/archived-articles/products-86,1998-05-01,2026-09-25,"8810 protective slide cover, forecast availability; forecast is not delivery evidence."
