batch_key,candidate_key,normalized_manufacturer,normalized_display_name,entity_granularity,parent_candidate_key,normalized_category,qualifying_event_type,normalized_launch_date,date_precision,market_channel_notes,decision_status,rationale,open_questions,normalizer
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-350,Intel,Intel Pentium II processor 350 MHz,model_variant,,CPU,product_introduction_and_system_boxed_availability,1998-04-15,exact,"Desktop systems, servers, workstations; system and boxed channels stated available the same day.",proposed,"Manufacturer name is shortened from Intel Corporation; display wording preserves the named 350 MHz variant. Verification supports the exact introduction and stated system/boxed availability date.","No ordering part number; package and SKU boundaries remain unknown.",terra-normalization-lane
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-400,Intel,Intel Pentium II processor 400 MHz,model_variant,,CPU,product_introduction_and_system_boxed_availability,1998-04-15,exact,"Desktop systems, servers, workstations; system and boxed channels stated available the same day.",proposed,"Manufacturer name is shortened from Intel Corporation; display wording preserves the named 400 MHz variant. Verification supports the exact introduction and stated system/boxed availability date.","No ordering part number; package and SKU boundaries remain unknown.",terra-normalization-lane
pilot-1998-cpu-gpu-hdd,intel-celeron-266,Intel,Intel Celeron processor 266 MHz,model_variant,,CPU,product_introduction,1998-04-15,exact,"Basic PCs; Celeron-based PCs and boxed processors were stated to be available in the next few weeks, not on the introduction date.",proposed,"Manufacturer name is shortened from Intel Corporation; the exact date applies to product introduction only. The availability gap is retained rather than converted into a release date.","Exact first commercial, system, and boxed availability dates remain unknown; no ordering part number.",terra-normalization-lane
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-450,Intel,Intel Pentium II processor 450 MHz,model_variant,,CPU,product_introduction_and_system_boxed_availability,1998-08-24,exact,"Mainstream performance PCs, entry-level servers, and workstations; system and boxed channels stated available the same day.",proposed,"Manufacturer name is shortened from Intel Corporation; display wording preserves the named 450 MHz variant. Verification supports the exact introduction and stated system/boxed availability date.","No ordering part number; package and SKU boundaries remain unknown.",terra-normalization-lane
pilot-1998-cpu-gpu-hdd,intel-celeron-300a,Intel,Intel Celeron processor 300A MHz,model_variant,,CPU,product_introduction_and_system_boxed_availability,1998-08-24,exact,"Basic PCs; system and boxed channels stated available the same day.",proposed,"Manufacturer name is shortened from Intel Corporation; the manufacturer designation 300A is preserved exactly and is not collapsed to 300. Verification supports the exact introduction and stated system/boxed availability date.","Whether 300A is a separate SKU boundary or a speed/cache designation; no ordering part number.",terra-normalization-lane
pilot-1998-cpu-gpu-hdd,intel-celeron-333,Intel,Intel Celeron processor 333 MHz,model_variant,,CPU,product_introduction_and_system_boxed_availability,1998-08-24,exact,"Basic PCs; system and boxed channels stated available the same day.",proposed,"Manufacturer name is shortened from Intel Corporation; display wording preserves the named 333 MHz variant. Verification supports the exact introduction and stated system/boxed availability date.","Ordering part number and package variants remain unknown; cited integrated L2 cache does not settle SKU identity.",terra-normalization-lane
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-xeon-400,Intel,Intel Pentium II Xeon processor 400 MHz,sku_unresolved,,CPU,product_family_introduction_and_component_availability,1998-06-29,exact,"Servers and workstations; processor components stated available on the date, while boxed reseller availability was later in 1998.",proposed,"Manufacturer name is shortened from Intel Corporation; the 400 MHz wording is preserved. The exact date applies to family introduction and component availability, not later boxed availability.","Whether 512 KB and 1 MB L2 cache options are separate SKU records; exact boxed availability date; whether this candidate should later be family or variant granularity.",terra-normalization-lane
pilot-1998-cpu-gpu-hdd,amd-k6-2-family,AMD,AMD-K6-2 processor with 3DNow! technology,family,,CPU,family_introduction_and_shipments,1998-05-28,exact,"Microsoft Windows compatible PCs; family introduction and shipment evidence are supported.",proposed,"Advanced Micro Devices Inc. is normalized to AMD; family-level display wording retains 3DNow! technology. The exact date belongs only to the family introduction.","Launch speed-grade composition and orderable SKU boundaries are not established; manufacturer-controlled sources are not independent corroboration.",terra-normalization-lane
pilot-1998-cpu-gpu-hdd,amd-k6-2-350,AMD,AMD-K6-2 processor 350 MHz,model_variant,amd-k6-2-family,CPU,variant_introduction_and_shipments,1998-Q3,quarter,"Mainstream desktop PCs; introduced and shipped in hundreds of thousands during Q3 1998 ended 1998-09-27.",proposed,"Advanced Micro Devices Inc. is normalized to AMD; this is retained as a speed-grade variant beneath the separately recorded AMD-K6-2 family. Quarter precision is preserved without inferring a day or month.","Exact introduction and first-shipment dates; package and ordering-part-number identity. Quarter precision requires later typed-event/date-precision support because the current product_details check has no quarter value.",terra-normalization-lane
pilot-1998-cpu-gpu-hdd,amd-k6-2-400,AMD,AMD-K6-2 processor 400 MHz,model_variant,amd-k6-2-family,CPU,variant_introduction_and_volume_shipments,1998-Q4,quarter,"Microsoft Windows compatible PCs; introduced and shipped in volume during Q4 1998 ended 1998-12-27.",proposed,"Advanced Micro Devices Inc. is normalized to AMD; this is retained as a speed-grade variant beneath the separately recorded AMD-K6-2 family. Quarter precision is preserved without inferring a day or month.","Exact introduction and first-shipment dates; package and ordering-part-number identity; retrospective company-controlled evidence. Quarter precision requires later typed-event/date-precision support because the current product_details check has no quarter value.",terra-normalization-lane
