source_key,title,publisher,source_type,source_tier,url,publication_date,accessed_date,scope_note
intel-1998-dp041598,New Intel Pentium II and Celeron Processors Bring Optimized Performance to Computer Systems,Intel Corporation,manufacturer_press_release,1,https://www.intel.com/pressroom/archive/releases/1998/dp041598.htm,1998-04-15,2026-09-08,"Pentium II 350/400 and Celeron 266 positioning and engineering details."
intel-1998-dp082498,New Intel Pentium II and Celeron Processors Complete 1998 Desktop Processor Line-up,Intel Corporation,manufacturer_press_release,1,https://www.intel.com/pressroom/archive/releases/1998/dp082498.htm,1998-08-24,2026-09-08,"Pentium II 450 and Celeron 300A/333 target segments, cache, and platform details."
intel-1998-sp062998,Intel Introduces New Pentium II Xeon Processor,Intel Corporation,manufacturer_press_release,1,https://www.intel.com/pressroom/archive/releases/1998/sp062998.htm,1998-06-29,2026-09-08,"Xeon 400 enterprise/workstation problem framing, cache options, and scalability."
intel-1998-dp012698,Intel Delivers Fastest Pentium II,Intel Corporation,manufacturer_press_release,1,https://www.intel.com/pressroom/archive/releases/1998/dp012698.htm,1998-01-26,2026-09-08,"Pentium II 333 visual computing and server/workstation positioning."
intel-1998-dp060898,Intel Introduces New Celeron Processor for Basic PCs,Intel Corporation,manufacturer_press_release,1,https://www.intel.com/pressroom/archive/releases/1998/dp060898.htm,1998-06-08,2026-09-08,"Celeron 300 affordability and Basic PC positioning."
intel-1998-wp100698,Intel Announces Fastest Pentium II Xeon Processor,Intel Corporation,manufacturer_press_release,1,https://www.intel.com/pressroom/archive/releases/1998/wp100698.htm,1998-10-06,2026-09-08,"Xeon 450 two-way workstation/server positioning and 440GX response."
intel-1998-mp040298,Intel Introduces Mobile Pentium II Processor,Intel Corporation,manufacturer_press_release,1,https://www.intel.com/pressroom/archive/releases/1998/mp040298.htm,1998-04-02,2026-09-08,"Mobile Pentium II 233/266 platform positioning and module response."
intel-1998-mp091698,Intel Announces Mobile Pentium II Processor at 300 MHz,Intel Corporation,manufacturer_press_release,1,https://www.intel.com/pressroom/archive/releases/1998/MP091698.HTM,1998-09-16,2026-09-08,"Mobile Pentium II 300 context source; rationale details limited."
intel-1998-dp081098,Intel Introduces Pentium II OverDrive Processor,Intel Corporation,manufacturer_press_release,1,https://www.intel.com/pressroom/archive/releases/1998/DP081098.HTM,1998-08-10,2026-09-08,"OverDrive upgrade problem and supported Pentium Pro systems."
intel-quickref-year,Intel Microprocessor Quick Reference Guide - Year,Intel Corporation,manufacturer_chronology,1,https://www.intel.com/pressroom/kits/quickrefyr.htm,,2026-09-08,"First-party chronology used for identity/context gaps only."
amd-1998-q2-results,AMD press release dated July 8 1998 filed as Form 8-K exhibit,Advanced Micro Devices Inc.,regulatory_filing_exhibit,1,https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-001778/EX-99.txt,1998-07-08,2026-09-08,"AMD-K6-2 family problem and 3DNow! engineering response."
amd-1998-q3-results,AMD press release dated October 6 1998 filed as Form 8-K exhibit,Advanced Micro Devices Inc.,regulatory_filing_exhibit,1,https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-002698/EX-99.txt,1998-10-06,2026-09-08,"AMD 350 MHz and mobile K6 positioning."
amd-1998-q4-results,AMD press release dated January 13 1999 filed as Form 8-K exhibit,Advanced Micro Devices Inc.,regulatory_filing_exhibit,1,https://ir.amd.com/financial-information/sec-filings/content/0001012870-99-000143/EX-99.txt,1999-01-13,2026-09-08,"AMD 366/380/400 speed-roadmap and demand context; retrospective."
spec-cint95-index,All Published SPECint95 Results,SPEC,standards_body_result_index,1,https://www.spec.org/osg/cpu95/results/cint95.html,,2026-09-08,"Official SPECint95 index lists Intel MU440EX results for Celeron 300, 300A, and 333 MHz."
spec-cfp95-index,All Published SPECfp95 Results,SPEC,standards_body_result_index,1,https://www.spec.org/cpu95/results/cfp95.html,,2026-09-08,"Official SPECfp95 index lists Intel MU440EX results for Celeron 300, 300A, and 333 MHz."
spec-celeron-300-disclosure,SPEC CPU95 Intel MU440EX Celeron 300 disclosure,SPEC,standards_body_individual_disclosure,1,https://www.spec.org/osg/cpu95/results/res98q3/cpu95-980831-03031.html,1998-08-31,2026-09-08,"Individual vendor-submitted disclosure for the cacheless Celeron 300 result; Intel sponsor."
spec-celeron-300a-disclosure,SPEC CPU95 Intel MU440EX Celeron 300A disclosure,SPEC,standards_body_individual_disclosure,1,https://www.spec.org/osg/cpu95/results/res98q3/cpu95-980831-03027.html,1998-08-31,2026-09-08,"Individual vendor-submitted disclosure for Celeron 300A result; Intel sponsor."
