batch_key,finding_id,finding_type,severity,affected_candidate_key,proposed_candidate_key,finding,source_url,source_locator,source_evidence,recommended_next_action,disposition,auditor
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-001","duplicate","info","intel-pentium-ii-350;intel-pentium-ii-400","","The 350 MHz and 400 MHz Pentium II records are separately named speed grades in the same introduction and are not duplicate identities.","https://www.intel.com/pressroom/archive/releases/1998/dp041598.htm","lines 4-7 and 20-22","Intel introduced both named speeds on April 15 and gives same-day system and boxed-channel availability for each.","Retain both frozen speed-grade records; only part-number evidence could justify a finer SKU split.","resolved_no_change","terra-cpu-audit-expanded-007"
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-002","duplicate","medium","intel-celeron-300;intel-celeron-300a","","Plain 300 MHz Celeron and 300A MHz Celeron are distinct manufacturer designations and cannot be collapsed by numeric speed.","https://www.intel.com/pressroom/archive/releases/1998/dp082498.htm","lines 4-13","Intel describes 300A MHz as a new cached Celeron while describing 300 MHz as a separate offered speed without integrated L2 cache.","Preserve both keys and raw names; obtain orderable identifiers before making a SKU-level claim.","resolved_no_change","terra-cpu-audit-expanded-007"
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-003","duplicate","info","intel-mobile-pentium-ii-233;intel-mobile-pentium-ii-266","","The 233 MHz and 266 MHz mobile Pentium II entries are separate named speed variants introduced together; shared announcement timing is not duplicate identity.","https://www.intel.com/pressroom/archive/releases/1998/mp040298.htm","lines 4-7 and 16-20","Intel names both speeds and gives separate mini-cartridge and mobile-module availability details.","Retain two speed-grade records and keep their shared date as independently stated rather than inherited from a family record.","resolved_no_change","terra-cpu-audit-expanded-007"
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-004","family_variant_overlap","high","intel-pentium-ii-overdrive-300;intel-pentium-ii-overdrive-333","","The two frozen OverDrive output-speed keys describe one singular Pentium II OverDrive product with two compatibility/output mappings rather than independently evidenced physical products.","https://www.intel.com/pressroom/archive/releases/1998/DP081098.HTM","lines 4-7 and 12-16","Intel uses singular product wording and one MSRP while mapping two Pentium Pro input groups to 300 MHz and 333 MHz outputs.","Require a human merge-or-restructure decision: preserve both frozen records as provenance but model one product plus compatibility assertions unless part-number evidence supports separate products.","follow_up","terra-cpu-audit-expanded-007"
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-005","family_variant_overlap","high","amd-k6-2-family;amd-k6-2-350;amd-k6-2-366;amd-k6-2-380;amd-k6-2-400","","The AMD-K6-2 family and four speed-grade records intentionally overlap across granularities; the family must not be counted as a fifth speed-grade record or used to infer an exhaustive launch-SKU list.","https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-001778/EX-99.txt","lines 52-69","AMD states a May 28 family introduction and quarterly shipment totals but does not enumerate the family launch speed grades.","Retain the family as a family-level candidate and each speed grade only as separately evidenced variants; do not use the group as a count of five comparable SKU claims.","follow_up","terra-cpu-audit-expanded-007"
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-006","date_inheritance","high","amd-k6-2-family;amd-k6-2-350;amd-k6-2-366;amd-k6-2-380;amd-k6-2-400","","The exact May 28 AMD-K6-2 family date cannot be inherited by any speed-grade candidate. The 350 MHz variant is Q3 evidence and the 366 MHz 380 MHz and 400 MHz variants are Q4 evidence only.","https://ir.amd.com/financial-information/sec-filings/content/0001012870-99-000143/EX-99.txt","lines 27-32 and 62-69","AMD's Q4 filing identifies 366 MHz 380 MHz and 400 MHz versions as introduced and shipped in volume during Q4; it does not supply an exact date.","Keep the family exact date and each speed-grade interval separately typed; reject any normalization that converts quarter evidence to day or month precision.","resolved_no_change","terra-cpu-audit-expanded-007"
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-007","evidence_gap","medium","amd-k6-2-350;amd-k6-2-366;amd-k6-2-380;amd-k6-2-400","","All four AMD-K6-2 speed-grade timing claims are manufacturer-controlled retrospective quarter statements. They support bounded 1998 intervals but not exact first-shipment dates or orderable identities.","https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-002698/EX-99.txt","lines 30-35 and 48-75","The Q3 filing supports the 350 MHz interval while the Q4 filing supports 366 MHz 380 MHz and 400 MHz intervals; neither resolves exact dates.","Retain quarter precision and flag independent contemporary or channel evidence as optional follow-up rather than filling missing dates.","follow_up","terra-cpu-audit-expanded-007"
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-008","family_variant_overlap","high","intel-pentium-ii-xeon-400","","The Xeon 400 MHz record has a cache-configuration boundary: Intel names 512 KB and 1 MB L2 options with different prices and later boxed-channel timing. A single record must not imply a fully resolved single SKU.","https://www.intel.com/pressroom/archive/releases/1998/sp062998.htm","lines 13-26","Intel gives separate cache-option pricing and distinguishes June 29 component availability from later boxed availability.","Keep the record at unresolved model-variant granularity until human review chooses whether cache configurations require separate candidate or assertion treatment.","follow_up","terra-cpu-audit-expanded-007"
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-009","evidence_gap","high","intel-pentium-ii-xeon-450","","Xeon 450 has an exact October 6 announcement but only planned two-way system shipments later in October; four-way availability is stated for early 1999. Announcement and planned shipment must not be converted into completed 1998 commercial availability.","https://www.intel.com/pressroom/archive/releases/1998/wp100698.htm","lines 4-11","Intel calls the event an announcement and distinguishes planned two-way system shipments from early-1999 four-way availability.","Keep the record review-required until a human chooses whether announcement plus planned 1998 system shipment meets the cohort event rule or later evidence establishes a completed qualifying event.","follow_up","terra-cpu-audit-expanded-007"
"pilot-1998-cpu-gpu-hdd","cpu-exp-aud-010","category_error","medium","amd-k6-300-mobile;amd-k6-2-family","","The mobile 300 MHz AMD-K6 record is not documented as an AMD-K6-2 speed variant. Its mobile AMD-K6 wording must remain separate from the AMD-K6-2 family and speed-grade hierarchy.","https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-002698/EX-99.txt","lines 68-75","AMD states that it introduced a 300 MHz AMD-K6 processor for mobile applications during Q3 without calling it AMD-K6-2.","Do not assign AMD-K6-2 parentage or May family timing to the mobile AMD-K6 record; retain a separate family/category label pending product-identity evidence.","resolved_no_change","terra-cpu-audit-expanded-007"
