batch_key,candidate_key,manufacturer_raw,product_name_raw,model_number_raw,product_type_raw,announced_date_raw,release_date_raw,market_scope_raw,source_1_url,source_2_url,notes
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-350,Intel Corporation,Intel Pentium II processor 350 MHz,,desktop CPU speed grade,1998-04-15,available in systems and boxed channels on 1998-04-15,"desktop systems, servers and workstations",https://www.intel.com/pressroom/archive/releases/1998/dp041598.htm,https://www.intel.com/pressroom/kits/quickrefyr.htm,Manufacturer wording identifies a frequency variant but does not supply an ordering part number
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-400,Intel Corporation,Intel Pentium II processor 400 MHz,,desktop CPU speed grade,1998-04-15,available in systems and boxed channels on 1998-04-15,"desktop systems, servers and workstations",https://www.intel.com/pressroom/archive/releases/1998/dp041598.htm,https://www.intel.com/pressroom/kits/quickrefyr.htm,Manufacturer wording identifies a frequency variant but does not supply an ordering part number
pilot-1998-cpu-gpu-hdd,intel-celeron-266,Intel Corporation,Intel Celeron processor 266 MHz,,desktop CPU speed grade,1998-04-15,processor-based PCs and boxed processors stated as available in the next few weeks,Basic PCs,https://www.intel.com/pressroom/archive/releases/1998/dp041598.htm,https://www.intel.com/pressroom/kits/quickrefyr.htm,Announcement date is exact but commercial availability date is not
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-450,Intel Corporation,Intel Pentium II processor 450 MHz,,desktop CPU speed grade,1998-08-24,available in systems and boxed channels on 1998-08-24,"mainstream performance PCs, entry-level servers and workstations",https://www.intel.com/pressroom/archive/releases/1998/dp082498.htm,https://www.intel.com/pressroom/kits/quickrefyr.htm,Press release describes immediate availability
pilot-1998-cpu-gpu-hdd,intel-celeron-300a,Intel Corporation,Intel Celeron processor 300A MHz,,desktop CPU speed grade,1998-08-24,available in systems and boxed channels on 1998-08-24,Basic PCs,https://www.intel.com/pressroom/archive/releases/1998/dp082498.htm,https://www.intel.com/pressroom/kits/quickrefyr.htm,Preserve 300A manufacturer designation; do not normalize it to plain 300
pilot-1998-cpu-gpu-hdd,intel-celeron-333,Intel Corporation,Intel Celeron processor 333 MHz,,desktop CPU speed grade,1998-08-24,available in systems and boxed channels on 1998-08-24,Basic PCs,https://www.intel.com/pressroom/archive/releases/1998/dp082498.htm,https://www.intel.com/pressroom/kits/quickrefyr.htm,Contemporary source distinguishes this cached version from earlier Celeron speed grades
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-xeon-400,Intel Corporation,Intel Pentium II Xeon processor 400 MHz,,server and workstation CPU variant,1998-06-29,processor and supporting components available on 1998-06-29; boxed reseller availability later in 1998,servers and workstations,https://www.intel.com/pressroom/archive/releases/1998/sp062998.htm,https://www.intel.com/pressroom/kits/quickrefyr.htm,At least 512 KB and 1 MB L2 cache options are named; this may require separate SKU-level records
pilot-1998-cpu-gpu-hdd,amd-k6-2-family,Advanced Micro Devices Inc.,AMD-K6-2 processor with 3DNow! technology,,CPU product family,1998-05-28,more than 500000 units reported shipped during the quarter ended 1998-06-28,Microsoft Windows compatible PCs,https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-001778/EX-99.txt,https://ir.amd.com/financial-information/sec-filings/content/0001012870-99-000892/EX-13.txt,Family-level introduction is explicit but the source located in this pass does not enumerate the launch speed grades
pilot-1998-cpu-gpu-hdd,amd-k6-2-350,Advanced Micro Devices Inc.,350MHz AMD-K6-2 processor,,desktop CPU speed grade,during Q3 1998,introduced and shipped in hundreds of thousands during Q3 ended 1998-09-27,mainstream desktop PCs,https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-002698/EX-99.txt,,Exact introduction and first-shipment dates are not stated
pilot-1998-cpu-gpu-hdd,amd-k6-2-400,Advanced Micro Devices Inc.,400MHz AMD-K6-2 processor,,desktop CPU speed grade,during Q4 1998,introduced and shipped in volume during Q4 ended 1998-12-27,Microsoft Windows compatible PCs,https://ir.amd.com/financial-information/sec-filings/content/0001012870-99-000143/EX-99.txt,https://ir.amd.com/financial-information/sec-filings/content/0001012870-99-000892/EX-13.txt,Retrospective January 1999 source confirms 1998 introduction and volume shipments but not an exact date
