batch_key,candidate_key,identity_status,manufacturer_status,category_status,timing_status,inclusion_recommendation,verified_event_type,verified_timing_raw,date_precision,source_1_url,source_1_locator,source_1_evidence,source_2_url,source_2_locator,source_2_evidence,contradictions_or_limits,unresolved_questions,verifier_notes
pilot-1998-cpu-gpu-hdd,amd-k6-2-366,verified,verified,verified_cpu,verified_quarter,retain_for_human_review,variant_introduction_and_volume_shipments,"AMD states it introduced and shipped in volume 366 MHz AMD-K6-2 versions during Q4 1998, ended 1998-12-27.",quarter,https://ir.amd.com/financial-information/sec-filings/content/0001012870-99-000143/EX-99.txt,"lines 62-69; quarter end lines 27-30","Filed AMD release names 366 MHz AMD-K6-2 among versions introduced and shipped in volume in the just-completed Q4 1998.",,,,,"Retrospective and manufacturer-controlled evidence; exact day/month and first shipment are not stated.","Ordering part number/package identity; independent corroboration.",Independent verifier inspected the frozen AMD filing; retains quarter precision only.
pilot-1998-cpu-gpu-hdd,amd-k6-2-380,verified,verified,verified_cpu,verified_quarter,retain_for_human_review,variant_introduction_and_volume_shipments,"AMD states it introduced and shipped in volume 380 MHz AMD-K6-2 versions during Q4 1998, ended 1998-12-27.",quarter,https://ir.amd.com/financial-information/sec-filings/content/0001012870-99-000143/EX-99.txt,"lines 62-69; quarter end lines 27-30","Filed AMD release names 380 MHz AMD-K6-2 among versions introduced and shipped in volume in the just-completed Q4 1998.",,,,,"Retrospective and manufacturer-controlled evidence; exact day/month and first shipment are not stated.","Ordering part number/package identity; independent corroboration.",Independent verifier inspected the frozen AMD filing; retains quarter precision only.
pilot-1998-cpu-gpu-hdd,amd-k6-300-mobile,verified,verified,verified_cpu,verified_quarter,retain_for_human_review,variant_introduction,"AMD states that during Q3 1998 it introduced a 300 MHz AMD-K6 processor for mobile applications.",quarter,https://ir.amd.com/financial-information/sec-filings/content/0001012870-98-002698/EX-99.txt,"lines 68-75; quarter ended 1998-09-27 in filing table","Filed AMD release states during the quarter it introduced a 300 MHz AMD-K6 processor for mobile applications.",,,,,"Manufacturer-controlled quarter statement; neither shipment nor channel availability is stated.","Exact date; first shipment; package/orderable identity; independent corroboration.",Independent verifier inspected the frozen AMD filing; no family date or retail claim was inherited.
pilot-1998-cpu-gpu-hdd,intel-celeron-300,verified,verified,verified_cpu,verified_exact,retain_for_human_review,product_introduction_and_boxed_reseller_availability,"Intel introduced the 300 MHz Celeron on 1998-06-08; boxed Celeron processors were also then available to Intel dealers and resellers.",exact,https://www.intel.com/pressroom/archive/releases/1998/dp060898.htm,"lines 4-10","Intel's dated release identifies the 300 MHz Celeron as introduced that day and says boxed Celeron processors were now available for dealers and resellers.",,,,,"The source does not allocate the boxed-availability statement to a specific 300 MHz ordering part number or establish geography.","Exact component availability and orderable SKU identity.",Independent verifier found stronger boxed-channel wording than the scout note; plain 300 remains distinct from 300A.
pilot-1998-cpu-gpu-hdd,intel-mobile-pentium-ii-233,verified,verified,verified_cpu,verified_exact,retain_for_human_review,product_introduction_system_and_component_availability,"Intel introduced mobile Pentium II processors at 233 and 266 MHz on 1998-04-02; mobile PCs were available beginning that day and the 233 MHz mini-cartridge/module was available to manufacturers in 1,000-unit quantities.",exact,https://www.intel.com/pressroom/archive/releases/1998/mp040298.htm,"lines 4-7, 16, 19-20","Intel's dated release names both speeds, reports same-day mobile-PC availability, and lists 233 MHz mini-cartridge and mobile-module availability/pricing.",,,,,"The release names a speed and channel but not an ordering part number or geographic sell-through.","Orderable SKU identity; geographic availability.",Independent verifier treats 233 MHz as a speed variant within the explicitly introduced mobile pair.
pilot-1998-cpu-gpu-hdd,intel-mobile-pentium-ii-266,verified,verified,verified_cpu,verified_exact,retain_for_human_review,product_introduction_system_and_component_availability,"Intel introduced mobile Pentium II processors at 233 and 266 MHz on 1998-04-02; mobile PCs were available beginning that day and the 266 MHz mini-cartridge/module was available to manufacturers in 1,000-unit quantities.",exact,https://www.intel.com/pressroom/archive/releases/1998/mp040298.htm,"lines 4-7, 16, 19-20","Intel's dated release names both speeds, reports same-day mobile-PC availability, and lists 266 MHz mini-cartridge and mobile-module availability/pricing.",,,,,"The release names a speed and channel but not an ordering part number or geographic sell-through.","Orderable SKU identity; geographic availability.",Independent verifier treats 266 MHz as a speed variant within the explicitly introduced mobile pair.
pilot-1998-cpu-gpu-hdd,intel-mobile-pentium-ii-300,verified,verified,verified_cpu,verified_exact_introduction,retain_for_human_review,product_introduction,"Intel's historical chronology gives 1998-09-09 as the mobile Pentium II 300 MHz introduction; a 1998-09-16 release calls it recently introduced.",exact,https://www.intel.com/pressroom/kits/quickrefyr.htm,"1998 chronological entry for Mobile Intel Pentium II Processor 300 MHz","Intel's historical chronology is explicitly organised by date of introduction and records the 300 MHz mobile Pentium II entry on 1998-09-09.",https://www.intel.com/pressroom/archive/releases/1998/MP091698.HTM,"lines 11-14","Intel's dated September 16 release calls the mobile Pentium II 300 MHz recently introduced but does not provide channel availability.","The exact date comes from a retrospective first-party chronology; the contemporary release corroborates recency only.","Exact system/component/boxed availability; orderable SKU identity; independent corroboration.",Independent verifier preserves the chronology's exact introduction date and does not convert the September 16 release into a launch date.
pilot-1998-cpu-gpu-hdd,intel-pentium-266,verified,verified,verified_cpu,verified_exact_introduction,retain_for_human_review,product_introduction,"Intel's historical chronology records the Pentium processor 266 MHz introduction on 1998-01-12.",exact,https://www.intel.com/pressroom/kits/quickrefyr.htm,"1998 chronological entry for Intel Pentium processor 266 MHz","Intel's historical chronology is explicitly organised by date of introduction and lists the Pentium 266 MHz entry on 1998-01-12.",,,,,"Only the retrospective first-party chronology is in the frozen register; it does not establish channel availability or an ordering part number.","Contemporary announcement; first shipment; system/component/boxed availability; SKU identity.",Independent verifier supports launch-cohort retention for the stated introduction only.
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-333,verified,verified,verified_cpu,verified_exact,retain_for_human_review,product_introduction_and_system_availability,"Intel introduced the 333 MHz Pentium II on 1998-01-26 and states it was available that day in computer systems from more than a dozen manufacturers.",exact,https://www.intel.com/pressroom/archive/releases/1998/dp012698.htm,"lines 4-11","Intel's dated release names the 333 MHz Pentium II, identifies desktop/server/workstation uses, and says it is available that day in systems.",,,,,"A server/workstation version supporting more memory was stated as later that quarter; the source gives no ordering part number or boxed availability claim.","Exact server/workstation-version availability; boxed/component channel; SKU identity.",Independent verifier separates same-day general system availability from later server/workstation configuration availability.
pilot-1998-cpu-gpu-hdd,intel-pentium-ii-overdrive-300,conflict,verified,verified_cpu,verified_exact_introduction_with_availability_range,human_merge_or_restructure_required,single_product_introduction_with_output_mapping,"Intel introduced one Pentium II OverDrive processor on 1998-08-10; it upgrades 150/180 MHz Pentium Pro systems to 300 MHz and was available in the second half of August.",exact_for_introduction,https://www.intel.com/pressroom/archive/releases/1998/DP081098.HTM,"lines 4-7, 12-16","Intel repeatedly uses singular wording: the same Pentium II OverDrive processor maps 150/180 MHz inputs to 300 MHz and 166/200 MHz inputs to 333 MHz; one MSRP is stated.",,,,,"The frozen 300 and 333 output-speed keys are not independently evidenced as two physical products. The source instead describes one processor with two output mappings.","Whether coordinator should replace the two keys with one product record plus compatibility/output assertions; part-number evidence if separate SKUs are claimed.",Independent verifier recommends a human merge/restructure decision; no automatic merge or promotion is made.
